,	95,82,	95,10387,0,0,10
592943,3351,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
593004,3352,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
593068,3353,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
593731,3354,0,1,568415,22612,7257,82244,16403,82,	96,82,	96,11186,0,0,10
593813,3355,1,0,576912,1284,7459,8420,16403,5,	0,5,	0,0,0,0,14
593881,3356,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
593942,3357,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
594006,3358,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
594067,3359,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
594731,3360,0,1,565982,22578,7316,85251,16405,83,	95,83,	96,9472,0,0,10
594812,3361,1,0,579036,1359,7434,7120,16403,5,	0,5,	0,0,0,0,14
594878,3362,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
594941,3363,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
595003,3364,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
595066,3365,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
595730,3366,0,1,568150,22561,7304,86842,16403,82,	96,82,	95,11186,0,0,10
595814,3367,1,0,576424,1339,7434,7677,16403,5,	0,4,	0,0,0,0,14
595879,3368,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
595943,3369,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
596004,3370,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
596068,3371,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
596729,3372,0,1,567319,22434,7235,80620,16401,82,	95,83,	96,10387,0,0,10
596813,3373,1,0,577080,1296,7430,8398,16403,5,	0,5,	0,0,0,0,14
596879,3374,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
596942,3375,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
597004,3376,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
597067,3377,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
597729,3378,0,1,567405,22560,7327,85519,16401,83,	96,82,	95,10262,0,0,0
597811,3379,1,0,578955,1313,7433,7968,16403,5,	0,5,	0,0,0,0,14
597878,3380,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
597940,3381,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
598003,3382,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
598065,3383,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
598728,3384,0,1,567702,22444,7287,85275,16401,82,	96,83,	96,11186,0,0,0
598810,3385,1,0,577860,1317,7431,7170,16405,5,	0,5,	0,0,0,0,14
598878,3386,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
598939,3387,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
599003,3388,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
599064,3389,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
599728,3390,0,1,568594,22317,7234,81410,16407,83,	95,82,	95,9472,0,0,0
599810,3391,1,0,583705,1373,7426,7133,16403,5,	0,5,	0,0,0,0,14
599875,3392,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
599939,3393,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
600000,3394,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
600064,3395,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
600727,3396,0,1,567070,22683,7323,86363,16405,82,	96,82,	96,11186,0,0,0
600809,3397,1,0,579009,1311,7427,6167,16403,5,	0,5,	0,0,0,0,14
600877,3398,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
600938,3399,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
601001,3400,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
601063,3401,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
601729,3402,0,1,566265,22110,7274,86063,16403,82,	95,83,	95,10387,0,0,10
601810,3403,1,0,576090,1304,7430,7430,16403,5,	0,5,	0,0,0,0,14
601878,3404,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
601939,3405,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
602003,3406,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
602064,3407,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
602728,3408,0,1,567851,22758,7236,84517,16401,83,	96,82,	96,10262,0,0,10
602810,3409,1,0,576157,1330,7426,6735,16403,4,	0,5,	0,0,0,0,14
602877,3410,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
602939,3411,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
603002,3412,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
603064,3413,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
603727,3414,0,1,566728,22172,7357,86120,16405,82,	95,82,	95,10387,0,0,10
603809,3415,1,0,577083,1330,7430,7217,16403,5,	0,5,	0,0,0,0,14
603877,3416,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
603938,3417,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
604002,3418,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
604063,3419,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
604727,3420,0,1,568806,22734,7223,81187,16401,83,	96,83,	96,10262,0,0,0
604809,3421,1,0,577731,1359,7428,8115,16403,5,	0,5,	0,0,0,0,14
604876,3422,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
604938,3423,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
605001,3424,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
605063,3425,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
605726,3426,0,1,566341,22216,7342,88612,16403,82,	95,82,	96,10387,0,0,0
