ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
347824,1836,0,1,554620,1632918,7192,2333937,16427,5839,	7069,5835,	7066,13802,0,0,0
347918,1837,1,1,575616,22149,7282,37405,16436,81,	98,81,	97,13752,0,0,14
347996,1838,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
348059,1839,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
348121,1840,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
348184,1841,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
348825,1842,0,1,556108,1632729,7201,2329425,16429,5835,	7066,5836,	7067,13823,0,0,0
348919,1843,1,1,576530,22099,7277,37118,16436,80,	97,81,	98,13923,0,0,14
348995,1844,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
349059,1845,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
349120,1846,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
349184,1847,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
349825,1848,0,1,555728,1632188,7184,2297629,16434,5836,	7065,5838,	7067,13798,0,0,0
349919,1849,1,1,577094,22145,7284,36926,16436,81,	98,80,	97,13752,0,0,14
349997,1850,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
350058,1851,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
350121,1852,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
350183,1853,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
350824,1854,0,1,556311,1633599,7130,2289863,16436,5836,	7067,5835,	7066,13821,0,0,10
350920,1855,1,1,578642,22154,7280,38484,16434,81,	97,81,	98,12942,0,0,14
350996,1856,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
351059,1857,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
351121,1858,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
351184,1859,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
351823,1860,0,1,555567,1630487,7055,2283882,16436,5837,	7060,5836,	7059,13729,0,0,10
